coupon	77.6631625353
年化報酬率	76.0782000346
存續期間	71.3233125324
債券評價	71.3233125324
到期殖利率	69.7383500318
單元違約機率信用風險	66.5684250303
單元債券	66.5684250303
duration	66.5684250303
market rate	57.058650026
payment	50.7188000231
provision	44.3789500202
YTM	38.0391000173
price par	38.0391000173
bond price	38.0391000173
factor used rating company	23.7744375108
realized compound	23.7744375108
EAR	22.1894750101
current	20.0
year	19.0195500087
現金收入	19.0195500087
price bond	19.0195500087
percentage change	19.0195500087
而言好處	19.0195500087
period	17.4345875079
rule	16.0
越低代表償債困難	15.8496250072
愈低代表愈高風險	15.8496250072
S annuity factor T	15.8496250072
cash flow	15.0
value bond	14.2646625065
premium bond	14.2646625065
bond pricing	14.2646625065
bond equal	14.2646625065
conversion	12.6797000058
APR	12.6797000058
6.09	12.6797000058
2.71	12.6797000058
1276.76	12.6797000058
1.8852	12.6797000058
收入折現值	12.6797000058
lender buyer seller	12.6797000058
issuer seller buyer	12.6797000058
for month treasury	12.6797000058
零息	9.50977500433
轉換	9.50977500433
inverse	9.50977500433
floater	9.50977500433
